__run_id,__done,proposer,patience,loop_budget,E_total_J,E_prop_J,E_train_J,E_cpu_J,E_wasted_J,E_per_kept_J,gap_fraction,test_acc,best_val_acc,baseline_val_acc,iterations,kept,reverted,rejected,errored,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,no_progress,alignment_ok,,,,,,,,,,,,,,
run_6_repetition_1,DONE,moe,patience3,10,70704.429,24403.699,46300.73,,33290.657,17676.10725,0.16209253312829955,0.8444,0.8456,0.7558,10,4,5,0,1,797.1640241146088,30198,22308,33.10692870616913,False,True,,,,,,,,,,,,,,
run_6_repetition_2,DONE,moe,patience3,10,57715.068,22495.988,35219.08,,39737.165,57715.068,0.1948087975916445,0.8344,0.8414,0.7622,10,1,6,2,1,659.8614566326141,28667,20940,30.907940173149107,False,True,False,0,0,0,2,1,0,0,0.0,7,7,0.0123,True,
run_3_repetition_2,DONE,dense,patience3,20,226108.24,124172.33,101935.91,,200659.266,,0.11255217412686945,0.7572,0.7618,0.7618,20,0,20,0,0,2246.607283592224,61441,42383,61.9197519659996,True,True,False,0,0,0,0,0,0,0,0.0,20,0,0.0123,True,
run_4_repetition_2,DONE,moe,greedy,10,61750.065,22663.63,39086.435,,37649.072,30875.0325,0.17708925488580457,0.8372,0.8462,0.752,10,2,5,1,2,698.0345604419708,28717,20868,30.767301297187807,False,True,False,0,0,0,1,2,0,0,0.0,7,7,0.0123,True,
run_0_repetition_2,DONE,dense,greedy,10,110637.323,65427.167,45210.156,,82770.82200000001,110637.323,0.15242820905925192,0.8003,0.8136,0.769,10,1,6,0,3,993.0907597541809,28298,20576,59.98347928524017,False,True,False,0,0,0,0,3,0,0,0.0,7,8,0.0123,True,
run_3_repetition_0,DONE,dense,patience3,20,137249.498,119068.292,18181.206,,121814.03199999999,,0.11246282299699195,0.7572,0.761,0.761,20,0,1,0,19,1400.9778332710266,67118,42513,62.42427276372909,True,True,False,0,0,0,0,19,0,0,0.0,1,0,0.0123,True,
run_3_repetition_1,DONE,dense,patience3,20,191620.137,123821.463,67798.674,,151455.656,191620.137,0.1049626167421016,0.8145,0.8248,0.7612,20,1,10,0,8,1913.4512403011322,64463,43242,63.333878946304324,False,True,False,0,0,0,0,8,0,0,0.0,12,5,0.0123,True,
run_5_repetition_0,DONE,moe,greedy,20,140326.109,48074.785,92251.324,,114682.83600000001,140326.109,0.13793026927013272,0.8051,0.815,0.753,20,1,17,0,2,1549.3635640144348,61274,42746,31.655126416683196,False,True,False,0,0,0,0,2,0,0,0.0,18,1,0.0123,True,
run_4_repetition_0,DONE,moe,greedy,10,61198.156,23017.163,38180.993,,44372.256,61198.156,0.17378548137953703,0.7982,0.8092,0.763,10,1,6,1,2,706.3453042507172,29127,21302,31.610160779953002,False,True,False,0,0,0,1,2,0,0,0.0,7,1,0.0123,True,
run_1_repetition_2,DONE,dense,greedy,20,238161.19400000002,129839.615,108321.579,,209048.835,,0.12223804605212057,0.7523,0.7676,0.7676,20,0,19,0,1,2160.8965051174164,58943,41092,59.91690248250961,True,True,False,0,0,0,0,1,0,0,0.0,19,0,0.0123,True,
run_7_repetition_1,DONE,moe,patience3,20,138026.52000000002,46971.435,91055.085,,106411.04999999997,69013.26000000001,0.13637789317589133,0.8305,0.8414,0.7692,20,2,16,0,2,1542.5667600631714,60880,42021,31.298055720329284,False,True,False,0,0,0,0,2,0,0,0.0,18,15,0.0123,True,
run_7_repetition_0,DONE,moe,patience3,20,63926.183999999994,44415.28,19510.904,,45325.26500000001,63926.183999999994,0.1853669851464932,0.7984,0.8094,0.7536,20,1,1,3,15,856.2868921756744,66231,44658,33.48760126829147,False,True,False,0,0,0,3,15,0,0,0.0,2,1,0.0123,True,
run_2_repetition_1,DONE,dense,patience3,10,102372.52,61601.311,40771.209,,88951.29299999999,,0.13110185233302857,0.7527,0.7584,0.7584,10,0,7,0,3,1019.0592856407166,29228,21427,62.51789543628693,True,True,False,0,0,0,0,3,0,0,0.0,7,0,0.0123,True,
