run,proposer,patience,loop_budget,seed,attribution,stub,synthetic_data,iterations,aborted_early,kept,reverted,rejected,errored,err_infra_timeout,err_infra_transport,err_contract_violation,err_guard_rejection,err_train_crash,err_train_timeout,infra_errors,infra_error_rate,evaluated_iterations,baseline_val_acc,best_val_acc,test_acc,best_iter,no_progress,eps,valid,invalid_reason,E_train_J,E_prop_J,E_gpu_total_J,E_wasted_J,E_per_kept_J,gap_fraction,alignment_ok,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,iters_to_first_keep
run_3_repetition_1,dense,3,20,18,per_device,False,False,20,False,1,10,0,8,0,0,0,0,8,0,0,0.0,12,0.7612,0.8248,0.8145,5,False,0.0123,True,,67798.674,123821.463,191620.137,151455.656,191620.137,0.1049626167421016,True,1913.4512403011322,64463,43242,63.333878946304324,5.0
run_3_repetition_2,dense,3,20,14,per_device,False,False,20,False,0,20,0,0,0,0,0,0,0,0,0,0.0,20,0.7618,0.7618,0.7572,0,True,0.0123,True,,101935.91,124172.33,226108.24,200659.266,,0.11255217412686945,True,2246.607283592224,61441,42383,61.9197519659996,
run_4_repetition_0,moe,1,10,20,per_device,False,False,10,False,1,6,1,2,0,0,0,1,2,0,0,0.0,7,0.763,0.8092,0.7982,1,False,0.0123,True,,38180.993,23017.163,61198.156,44372.256,61198.156,0.17378548137953703,True,706.3453042507172,29127,21302,31.610160779953002,1.0
run_4_repetition_1,moe,1,10,7,per_device,False,False,10,False,1,3,3,3,0,0,0,3,3,0,0,0.0,4,0.765,0.8394,0.8272,6,False,0.0123,True,,25326.527,21364.697,46691.224,30626.395000000004,46691.224,0.2080316849264864,True,557.7497684955597,28842,20938,30.88650212287903,6.0
run_4_repetition_2,moe,1,10,15,per_device,False,False,10,False,2,5,1,2,0,0,0,1,2,0,0,0.0,7,0.752,0.8462,0.8372,7,False,0.0123,True,,39086.435,22663.63,61750.065,37649.072,30875.0325,0.17708925488580457,True,698.0345604419708,28717,20868,30.767301297187807,3.0
run_5_repetition_0,moe,1,20,19,per_device,False,False,20,False,1,17,0,2,0,0,0,0,2,0,0,0.0,18,0.753,0.815,0.8051,1,False,0.0123,True,,92251.324,48074.785,140326.109,114682.83600000001,140326.109,0.13793026927013272,True,1549.3635640144348,61274,42746,31.655126416683196,1.0
run_5_repetition_1,moe,1,20,2,per_device,False,False,20,False,1,12,1,6,0,0,0,1,6,0,0,0.0,13,0.7568,0.8254,0.8217,4,False,0.0123,True,,76694.682,52920.619,129615.301,101142.593,129615.301,0.16409701505843055,True,1334.080172777176,62783,43694,32.34158848524093,4.0
run_5_repetition_2,moe,1,20,1,per_device,False,False,20,False,2,15,2,1,0,0,0,2,1,0,0,0.0,17,0.7656,0.8546,0.8457,3,False,0.0123,True,,83616.639,50577.781,134194.41999999998,101844.325,67097.20999999999,0.14418916971361403,True,1474.3182575702667,63465,44824,33.09108619689941,1.0
run_6_repetition_0,moe,3,10,11,per_device,False,False,10,False,0,6,1,3,0,0,0,1,3,0,0,0.0,6,0.7756,0.7756,0.7613,0,True,0.0123,True,,28038.098,22043.811,50081.909,39875.756,,0.20378921658118102,True,590.5094759464264,28910,21117,31.284096050262452,
run_6_repetition_1,moe,3,10,12,per_device,False,False,10,False,4,5,0,1,0,0,0,0,1,0,0,0.0,9,0.7558,0.8456,0.8444,4,False,0.0123,True,,46300.73,24403.699,70704.429,33290.657,17676.10725,0.16209253312829955,True,797.1640241146088,30198,22308,33.10692870616913,1.0
run_6_repetition_2,moe,3,10,13,per_device,False,False,10,False,1,6,2,1,0,0,0,2,1,0,0,0.0,7,0.7622,0.8414,0.8344,7,False,0.0123,True,,35219.08,22495.988,57715.068,39737.165,57715.068,0.1948087975916445,True,659.8614566326141,28667,20940,30.907940173149107,7.0
run_7_repetition_0,moe,3,20,23,per_device,False,False,20,False,1,1,3,15,0,0,0,3,15,0,0,0.0,2,0.7536,0.8094,0.7984,1,False,0.0123,True,,19510.904,44415.28,63926.183999999994,45325.26500000001,63926.183999999994,0.1853669851464932,True,856.2868921756744,66231,44658,33.48760126829147,1.0
run_7_repetition_1,moe,3,20,22,per_device,False,False,20,False,2,16,0,2,0,0,0,0,2,0,0,0.0,18,0.7692,0.8414,0.8305,15,False,0.0123,True,,91055.085,46971.435,138026.52000000002,106411.04999999997,69013.26000000001,0.13637789317589133,True,1542.5667600631714,60880,42021,31.298055720329284,1.0
run_7_repetition_2,moe,3,20,8,per_device,False,False,20,False,1,16,1,2,0,0,0,1,2,0,0,0.0,17,0.7604,0.875,0.8645,1,False,0.0123,True,,85223.612,48902.189,134125.80099999998,108719.435,134125.80099999998,0.14105965339211637,True,1506.6189696788788,63702,44202,32.89629693031311,1.0
